1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2020-12-28,2020-S53,01,Guadeloupe,65 ans ou plus,607.90273556,0.0,
2021-01-04,2021-S01,01,Guadeloupe,65 ans ou plus,305.81039755,1086.9565217,
2021-01-11,2021-S02,01,Guadeloupe,00-14 ans,6179.7752809,8695.6521739,
2021-01-18,2021-S03,01,Guadeloupe,65 ans ou plus,321.54340836,917.43119266,
2021-01-25,2021-S04,01,Guadeloupe,15-64 ans,871.45969499,0.0,
2021-01-25,2021-S04,01,Guadeloupe,Tous âges,2887.6333961,3759.3984962,
2021-02-08,2021-S06,01,Guadeloupe,15-64 ans,677.20090293,1010.1010101,
2021-03-01,2021-S09,01,Guadeloupe,15-64 ans,355.0295858,0.0,
2021-03-01,2021-S09,01,Guadeloupe,Tous âges,1234.5679012,1476.0147601,
2021-03-08,2021-S10,01,Guadeloupe,65 ans ou plus,314.46540881,787.4015748,
2021-03-15,2021-S11,01,Guadeloupe,00-14 ans,5208.3333333,4255.3191489,
2021-03-15,2021-S11,01,Guadeloupe,65 ans ou plus,294.11764706,0.0,
2021-03-15,2021-S11,01,Guadeloupe,Tous âges,1679.6640672,655.73770492,
2021-03-22,2021-S12,01,Guadeloupe,00-14 ans,4010.0250627,4347.826087,
2021-03-29,2021-S13,01,Guadeloupe,15-64 ans,867.67895879,0.0,
2021-03-29,2021-S13,01,Guadeloupe,65 ans ou plus,920.24539877,0.0,
2021-04-05,2021-S14,01,Guadeloupe,15-64 ans,1077.5862069,1574.8031496,
2021-04-12,2021-S15,01,Guadeloupe,65 ans ou plus,301.20481928,0.0,
2021-04-12,2021-S15,01,Guadeloupe,Tous âges,1513.2408575,350.87719298,
2021-04-26,2021-S17,01,Guadeloupe,15-64 ans,858.36909871,0.0,
2021-04-26,2021-S17,01,Guadeloupe,Tous âges,2234.6368715,2000.0,
2021-05-03,2021-S18,01,Guadeloupe,15-64 ans,773.99380805,0.0,
2021-05-03,2021-S18,01,Guadeloupe,65 ans ou plus,869.56521739,1190.4761905,
2021-05-10,2021-S19,01,Guadeloupe,00-14 ans,5929.9191375,4081.6326531,
2021-05-10,2021-S19,01,Guadeloupe,15-64 ans,600.96153846,813.00813008,
2021-05-17,2021-S20,01,Guadeloupe,00-14 ans,6508.8757396,0.0,
2021-05-17,2021-S20,01,Guadeloupe,Tous âges,1873.6988203,381.67938931,
2021-05-24,2021-S21,01,Guadeloupe,00-14 ans,6158.3577713,5660.3773585,
2021-05-31,2021-S22,01,Guadeloupe,15-64 ans,361.44578313,0.0,
2021-05-31,2021-S22,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-06-07,2021-S23,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2021-06-14,2021-S24,01,Guadeloupe,Tous âges,2130.406714,763.35877863,
2021-06-21,2021-S25,01,Guadeloupe,00-14 ans,5763.6887608,17647.058824,
2021-06-28,2021-S26,01,Guadeloupe,00-14 ans,5753.4246575,8108.1081081,
2021-06-28,2021-S26,01,Guadeloupe,15-64 ans,225.22522523,0.0,
2021-07-05,2021-S27,01,Guadeloupe,15-64 ans,1032.1100917,934.57943925,
2021-07-12,2021-S28,01,Guadeloupe,65 ans ou plus,317.46031746,0.0,
2021-07-19,2021-S29,01,Guadeloupe,Tous âges,1528.3842795,1428.5714286,
2021-07-26,2021-S30,01,Guadeloupe,65 ans ou plus,609.75609756,0.0,
2021-08-02,2021-S31,01,Guadeloupe,00-14 ans,2380.952381,1724.137931,
2021-08-09,2021-S32,01,Guadeloupe,00-14 ans,2716.0493827,3773.5849057,
2021-08-16,2021-S33,01,Guadeloupe,00-14 ans,2808.988764,0.0,
